name,rating,reviews,category,hq,no_of_branches,salary,no_of_interviews,jobs
Square Yards,3.6,2.9k,Internet ,Gurgaon / Gurugram,49,8.8k,215,43
UPL,4.1,2.8k,Agro Chemicals ,Ankleshwar,177,10.8k,197,59
Amazon Transportation Services,4.1,2.8k,,Hyderabad / Secunderabad,218,7.6k,238,--
Walmart,3.5,2.8k,Retail ,Bangalore / Bengaluru,88,19.6k,419,137
PepsiCo,4.0,2.8k,Food Processing ,Hyderabad / Secunderabad,257,12k,219,267
S&P Global,4.0,2.8k,Analytics & KPO ,Hyderabad / Secunderabad,43,18.7k,306,286
Titan Company,4.2,2.8k,Retail ,Bangalore / Bengaluru,170,9k,170,427
CMS IT Services,3.1,2.8k,IT Services & Consulting ,Mumbai,151,9.7k,146,86
Varroc Group,3.6,2.8k,Auto Components ,Pune,59,9.1k,200,12
Dilip Buildcon,3.9,2.8k,Engineering & Construction ,Bhopal,214,8k,162,15
PhonePe,4.0,2.8k,FinTech ,Bangalore / Bengaluru,330,11.2k,359,229
TVS Credit Services Ltd,4.2,2.8k,NBFC ,Chennai,391,6.9k,129,55
Croma,3.9,2.8k,Retail ,Mumbai,174,8.1k,159,31
Bajaj Allianz General Insurance,3.7,2.8k,Insurance ,Pune,264,8.7k,108,317
Societe Generale Global Solution Centre,3.7,2.7k,IT Services & Consulting ,Bangalore / Bengaluru,24,21.5k,278,101
Mankind Pharma,3.8,2.7k,Pharma ,New Delhi,222,8.7k,225,14
Cloudnine Hospital,4.5,2.7k,Healthcare ,Bangalore / Bengaluru,41,2.6k,700,--
UnitedHealth,4.0,2.7k,Healthcare ,Hyderabad / Secunderabad,17,15.4k,84,--
Zensar Technologies,3.7,2.7k,IT Services & Consulting ,Pune,28,25.5k,263,434
ACC,3.9,2.7k,Building Material ,Mumbai,254,8.8k,216,1
Torrent Pharmaceuticals,3.9,2.7k,Pharma ,Ahmedabad,117,10k,137,43
Afcons Infrastructure,4.2,2.7k,Engineering & Construction ,Mumbai,111,8.1k,235,10
Shoppers Stop,4.0,2.7k,Retail ,Mumbai,78,6.8k,123,10
MSN Laboratories,3.6,2.7k,Pharma ,Hyderabad / Secunderabad,89,9k,152,36
Whitehat jr,3.4,2.7k,EdTech ,Mumbai,48,9.4k,262,--
Nokia,4.0,2.7k,Telecom ,Bangalore / Bengaluru,164,15.3k,295,215
HDFC Sales,4.0,2.7k,Financial Services ,Mumbai,323,7.8k,180,45
Quest Global,3.5,2.7k,IT Services & Consulting ,Bangalore / Bengaluru,44,19.9k,333,129
I Process Services,3.8,2.7k,,Mumbai,372,5.2k,118,--
Fiserv,2.8,2.6k,FinTech ,Pune,32,17.7k,185,68
Fujitsu,3.8,2.6k,IT Services & Consulting ,Pune,39,16.6k,206,54
Apollo Tyres,4.0,2.6k,Auto Components ,Chennai,170,9.5k,141,--
Jindal Stainless,4.2,2.6k,Iron & Steel ,Jajpur,75,10.3k,264,24
Blinkit,3.8,2.6k,Internet ,Gurgaon / Gurugram,110,10.3k,251,--
Suzlon Group,4.0,2.6k,Power ,Pune,126,7k,148,19
IDFC FIRST Bharat,4.3,2.6k,Financial Services ,Chennai,365,4.9k,120,--
Eternal Limited,3.7,2.6k,Internet ,Gurgaon / Gurugram,211,13.2k,336,9
Flex,4.0,2.5k,Electronics Manufacturing ,Chennai,44,16.2k,204,79
Capita,3.5,2.5k,IT Services & Consulting ,Pune,31,13.2k,158,83
